Incident_ID,Age,Gender,Race,School_Affiliation,Shooter_Outcome,Shooter_Died,Injury
19720313TXUNH,15,Male,,Student,Surrendered,false,None
19720228CAMAL,14,Male,,Student,,false,None
19720215ILKEC,21,Male,,Nonstudent,Apprehended/Killed by LE,true,Fatal
19720214ILCAC,,Male,,Student,Fled/Escaped,false,None
19720126MDHAB,17,Male,,Student,Fled/Apprehended,false,None
19720126MDGWB,Teen,Male,,Student,,false,None
19720124OHSTS,16,Male,White,Student,Surrendered,false,None
19720105DCPAW,61,Male,,Teacher,Subdued by Students/Staff/Other,false,None
19711213MDCAB,17,Male,,Student,Fled/Apprehended,false,None
19711206CALOL,14,Male,Hispanic,Student,Fled/Apprehended,false,None
19711206CALOL,14,Male,Hispanic,Student,Fled/Apprehended,false,None
19711124MDEDB,17,Male,,Student,Fled/Apprehended,false,None
19711108OKGRT,63,Male,,Other Staff,,false,None
19711103NMCAC,22,Male,,Former Student,Suicide,true,Suicide
19711029MDFRB,Teen,Male,,Student,Fled/Escaped,false,None
19711029MDFRB,Teen,Male,,Student,Fled/Escaped,false,None
19711029MDFOB,17,Male,,Former Student,Fled/Escaped,false,None
19711028MDCIB,,Male,,Student,Fled/Escaped,false,None
19710929VAPEP,14,Male,Black,Student,Subdued by Students/Staff/Other,false,None
19710928MNCEM,18,Male,,No Relation,Fled/Apprehended,false,None
19710924NYMCB,Teen,,,Student,,false,None
19710909TXDUL,15,Male,White,Student,Fled/Apprehended,false,None
19710820PAMOM,72,Male,White,Security Guard,Surrendered,false,None
19710602NYEAE,13,Male,,Student,Suicide,true,Suicide
19710527MIBES,17,Male,,Student,,false,None
19710405PAWIH,17,Male,,Student,,false,None
19710309AZROT,13,Male,,Student,,false,None
19710225OHFRC,Teen,Male,,Student,Fled/Apprehended,false,None
19710210TXOAD,17,Male,,Student,,false,None
19710205PAJOW,14,Male,,Student,,false,None
19710202PAMOP,14,Male,Black,Student,Fled/Apprehended,false,None
19701212WIXAA,Adult,,,Police Officer/SRO,Law Enforcement,false,None
19701120ILHAC,15,Male,,Student,Fled/Apprehended,false,None
19701027OHAPM,13,Male,,Student,Fled/Apprehended,false,None
19701020TNWAN,13,Male,,Student,,false,None
19701019TNBOM,17,Male,,Student,Fled/Apprehended,false,None
19701005MIPOD,Teen,Male,,Student,Fled/Escaped,false,None
19700928IACED,17,Male,,Student,Fled/Apprehended,false,None
19700924IDMEM,,,,,,false,None
19700914TNHAN,18,Male,Black,Student,Fled/Apprehended,false,None
19700831FLALM,27,Male,Black,No Relation,Apprehended/Killed by LE,false,None
19700828TXRIE,15,Male,,Student,Fled/Apprehended,false,None
19700828TXRIE,16,Male,,Student,Fled/Apprehended,false,None
19700515UTBEO,15,Male,White,Student,,false,None
19700508FLCAD,18,Male,Hispanic,Student,Fled/Apprehended,false,None
19700422DEPIW,16,Male,Hispanic,Student,Fled/Apprehended,false,None
19700415ARPIP,18,Male,,No Relation,Fled/Apprehended,false,None
19700415ARPIP,Teen,Male,,No Relation,Fled/Apprehended,false,None
19700415ARPIP,Adult,Male,,No Relation,Fled/Apprehended,false,None
19700415ARPIP,Adult,Male,,No Relation,Fled/Apprehended,false,None
19700415ARPIP,Adult,Male,,No Relation,Fled/Apprehended,false,None
19700415ARPIP,Adult,Male,,No Relation,Fled/Apprehended,false,None
19700415ARPIP,Adult,Male,,No Relation,Fled/Apprehended,false,None
19700415ARPIP,Adult,Male,,No Relation,Fled/Apprehended,false,None
